month,branch_id,disbursements,collections,portfolio,operating_expenses,digital_transactions,portfolio_growth,collection_rate
2022-01,BR001,12400000.0,20264581,196223743,1355965,268,-7864581.0,1.0327282871166106
2022-01,BR002,8500000.0,16709815,159749144,1143576,270,-8209815.0,1.0460034139525656
2022-01,BR003,7200000.0,17901812,158031784,1031001,189,-10701812.0,1.1327981971019196
2022-01,BR004,6500000.0,14009542,136217642,879285,219,-7509542.0,1.0284675167112347
2022-01,BR005,19900000.0,34273690,360293757,2238193,67,-14373690.0,0.9512707154678786
2022-01,BR006,11300000.0,22614341,206029403,1663608,238,-11314341.0,1.0976268761017571
2022-01,BR007,12800000.0,25327470,262717909,1927325,117,-12527470.0,0.9640557088934504
2022-01,BR008,14000000.0,28607050,272243004,1522948,119,-14607050.0,1.0507910058177288
2022-01,BR009,8200000.0,17210708,172935783,1308138,261,-9010708.0,0.9952080304860909
2022-01,BR010,14800000.0,18949975,201922413,1491856,153,-4149975.0,0.9384780380967416
2022-01,BR011,9500000.0,16703711,161869602,1010278,159,-7203711.0,1.0319238939007214
2022-01,BR012,12900000.0,24464666,252668630,2151428,238,-11564666.0,0.9682510250678923
2022-01,BR013,15800000.0,22345066,196881950,1375491,56,-6545066.0,1.134947413919864
2022-01,BR014,22700000.0,33142672,305074061,2076809,93,-10442672.0,1.0863811853214227
2022-01,BR015,8500000.0,17802693,166497712,988832,138,-9302693.0,1.0692455041063866
2022-01,BR016,18400000.0,27678286,243465994,2197149,179,-9278286.0,1.1368440226605117
2022-01,BR017,5400000.0,13514869,116705027,961488,169,-8114869.0,1.1580365771219092
2022-01,BR018,8500000.0,14606814,133301536,938626,52,-6106814.0,1.0957723697947486
2022-01,BR019,15200000.0,30693684,268791729,2236268,193,-15493684.0,1.1419132617730212
2022-01,BR020,8500000.0,16643519,154611803,1236112,267,-8143519.0,1.0764714386003247
2022-01,BR021,9500000.0,27990842,250636416,1460496,133,-18490842.0,1.1167907061039366
2022-01,BR022,11700000.0,21719932,197524275,1457927,101,-10019932.0,1.0996082380254275
2022-01,BR023,8100000.0,17595928,180923192,1135673,213,-9495928.0,0.9725634290157782
2022-01,BR024,15700000.0,34299564,306757147,2084660,152,-18599564.0,1.1181341440758672
2022-01,BR025,6200000.0,12707148,132086492,882394,284,-6507148.0,0.9620323628550903
2022-01,BR026,10600000.0,24436542,221334529,1542341,52,-13836542.0,1.1040546683070853
2022-01,BR027,8200000.0,25027262,216426748,1600142,53,-16827262.0,1.156384884552255
2022-01,BR028,16900000.0,28031958,250868630,1442161,178,-11131958.0,1.1173959055781506
2022-01,BR029,15200000.0,34419734,330597275,1960696,239,-19219734.0,1.0411378617685219
2022-01,BR030,7200000.0,15863503,150323186,1324113,125,-8663503.0,1.0552931601649262
2022-01,BR031,19900000.0,34526100,351607242,2231902,133,-14626100.0,0.9819507642564427
2022-01,BR032,17800000.0,37560623,335470687,2195528,166,-19760623.0,1.1196394932711362
2022-01,BR033,12900000.0,30751587,283901494,1888043,126,-17851587.0,1.0831780617540532
2022-01,BR034,15500000.0,36860560,383290532,2310056,189,-21360560.0,0.9616872038988951
2022-01,BR035,8100000.0,13560743,129048727,991981,271,-5460743.0,1.0508234614356171
2022-01,BR036,15000000.0,38990191,337006748,2282860,242,-23990191.0,1.1569557948436093
2022-01,BR037,11500000.0,34881227,302811244,1865636,249,-23381227.0,1.1519132030645467
2022-01,BR038,14400000.0,31865229,285491018,2775296,222,-17465229.0,1.1161552199866407
2022-01,BR039,7700000.0,12275082,127811468,733644,106,-4575082.0,0.9604053683195314
2022-01,BR040,24300000.0,31667575,324534082,2982376,126,-7367575.0,0.9757858036001285
2022-01,BR041,9000000.0,14952999,131976004,981934,239,-5952999.0,1.1330089218340025
2022-01,BR042,14000000.0,25977083,261100836,2106374,284,-11977083.0,0.9949061595497917
2022-01,BR043,19800000.0,30922146,312605973,2357686,200,-11122146.0,0.9891732299049832
2022-01,BR044,6600000.0,13332312,129201433,910854,104,-6732312.0,1.0319012483398693
2022-01,BR045,19500000.0,31029201,289763504,2023775,162,-11529201.0,1.0708457266585234
2022-01,BR046,13000000.0,29237088,268045051,2183707,294,-16237088.0,1.0907527630495217
2022-01,BR047,16100000.0,36985290,347073135,2286816,280,-20885290.0,1.0656339045083394
2022-01,BR048,16700000.0,30205309,297503839,1996993,275,-13505309.0,1.0152914026766557
2022-01,BR049,12400000.0,25425789,237597400,1548287,92,-13025789.0,1.070120674721188
2022-01,BR050,12300000.0,19564816,202955972,1780677,60,-7264816.0,0.9639931166942945
2022-02,BR001,9300000.0,19108781,186414962,1519829,56,-9808781.0,1.025066914961472
2022-02,BR002,7900000.0,16369189,151279955,1029170,104,-8469189.0,1.0820461309629554
2022-02,BR003,7800000.0,17195609,148636175,1033080,186,-9395609.0,1.1568925936098664
2022-02,BR004,5200000.0,13664293,127753349,785236,290,-8464293.0,1.0695839370911522
2022-02,BR005,21700000.0,38016658,343977099,2725051,280,-16316658.0,1.1052089836945802
2022-02,BR006,10100000.0,19011730,197117673,1327452,278,-8911730.0,0.9644863248766131
2022-02,BR007,21000000.0,26777584,256940325,1850029,158,-5777584.0,1.042171329081957
2022-02,BR008,10700000.0,28371612,254571392,1509021,147,-17671612.0,1.114485479970978
2022-02,BR009,12800000.0,17408668,168327115,1381662,163,-4608668.0,1.0342165016016582
2022-02,BR010,10200000.0,19881392,192241021,1856984,232,-9681392.0,1.0341909284803474
2022-02,BR011,10900000.0,16452388,156317214,1315217,221,-5552388.0,1.0525000784622478
2022-02,BR012,17200000.0,25653782,244214848,1546426,140,-8453782.0,1.0504595527295704
2022-02,BR013,14400000.0,18913510,192368440,1667587,215,-4513510.0,0.9831919414639948
2022-02,BR014,14100000.0,28374002,290800059,2099846,235,-14274002.0,0.97572201661761
2022-02,BR015,5600000.0,18304146,153793566,1049526,255,-12704146.0,1.1901763172589417
2022-02,BR016,15200000.0,25985072,232680922,1666364,164,-10785072.0,1.1167684817752268
2022-02,BR017,6000000.0,11313912,111391115,1042639,254,-5313912.0,1.0156924993523946
2022-02,BR018,7500000.0,14031969,126769567,1159831,291,-6531969.0,1.1068878226901255
2022-02,BR019,12200000.0,24513017,256478712,2294738,199,-12313017.0,0.9557524992561565
2022-02,BR020,7800000.0,16980138,145431665,1168961,113,-9180138.0,1.1675681496185855
2022-02,BR021,12200000.0,26775613,236060803,1651506,110,-14575613.0,1.1342676403587426
2022-02,BR022,12600000.0,20774645,189349630,1104302,57,-8174645.0,1.0971579400498432
2022-02,BR023,10900000.0,19331416,172491776,1523261,284,-8431416.0,1.1207152276059815
2022-02,BR024,14200000.0,27886060,293071087,2928905,110,-13686060.0,0.9515118084644084
2022-02,BR025,5000000.0,12565836,124520656,888035,57,-7565836.0,1.009136668859181
2022-02,BR026,17500000.0,21448226,217386303,1473246,135,-3948226.0,0.9866410948623566
2022-02,BR027,8600000.0,22956951,202069797,1248442,289,-14356951.0,1.1360901698733332
2022-02,BR028,11700000.0,24514904,238053726,1524301,80,-12814904.0,1.029805515415457
2022-02,BR029,11500000.0,30041155,312056120,2393411,297,-18541155.0,0.9626843722853441
2022-02,BR030,6800000.0,14366879,142756307,1173868,231,-7566879.0,1.0063918927238709
2022-02,BR031,15400000.0,37458303,329548939,2393145,81,-22058303.0,1.1366537277791082
2022-02,BR032,17600000.0,30826827,322243860,2391018,66,-13226827.0,0.9566303916543204
2022-02,BR033,16200000.0,27801559,272299935,1842324,131,-11601559.0,1.0209902914593056
2022-02,BR034,18600000.0,37667045,364223487,2708680,256,-19067045.0,1.0341739713232716
2022-02,BR035,7900000.0,11649155,125299572,1253605,242,-3749155.0,0.9297042930042889
2022-02,BR036,11400000.0,33949425,314457323,2324191,251,-22549425.0,1.0796194751044166
2022-02,BR037,11500000.0,27290336,287020908,1810427,87,-15790336.0,0.9508135205258287
2022-02,BR038,16200000.0,25760006,275931012,2626958,141,-9560006.0,0.9335669018602374
2022-02,BR039,7000000.0,12524530,122286938,950923,227,-5524530.0,1.0241919705275473
2022-02,BR040,22900000.0,29791789,317642293,2561001,255,-6891789.0,0.9379037255596187
2022-02,BR041,6400000.0,12018735,126357269,975520,85,-5618735.0,0.9511708424150889
2022-02,BR042,13400000.0,25070120,249430716,2150912,162,-11670120.0,1.005093534671167
2022-02,BR043,18200000.0,33767393,297038580,2532667,104,-15567393.0,1.1368015898810182
2022-02,BR044,5900000.0,11786278,123315155,1196672,162,-5886278.0,0.9557850371270262
2022-02,BR045,21700000.0,31081172,280382332,2425295,79,-9381172.0,1.1085281935667757
2022-02,BR046,12000000.0,24958993,255086058,1618842,226,-12958993.0,0.978453828315462
2022-02,BR047,14100000.0,32289395,328883740,2224658,71,-18189395.0,0.9817875155518482
2022-02,BR048,11300000.0,30631654,278172185,1591013,110,-19331654.0,1.101176021606905
2022-02,BR049,15100000.0,25563168,227134232,1958276,256,-10463168.0,1.1254652270997176
